[2025-11-09T06:20:26.445Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762669226444 resume=false
[2025-11-09T06:20:27.583Z] JOB_START MSFT
[2025-11-09T06:23:53.188Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:54.688Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:56.204Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:57.705Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:59.221Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:00.721Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:02.221Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:03.721Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:05.238Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:06.737Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:08.238Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:09.737Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:11.237Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:12.738Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:14.254Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:15.755Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:17.255Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:18.755Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:20.256Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:21.756Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:23.257Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:24:24.771Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:26.269Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:27.780Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:29.292Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:30.805Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:32.305Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:33.807Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:35.316Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:36.820Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:38.329Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:39.835Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:41.346Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:42.860Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:44.362Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:45.863Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:47.370Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:48.876Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:50.383Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:51.891Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:53.399Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:54.899Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:56.406Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:57.910Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:24:59.414Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:00.915Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:02.421Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:03.929Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:05.440Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:06.955Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:08.468Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:09.973Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:11.487Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:13.001Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:14.507Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:16.022Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:17.538Z] USAGE cpu=0% rssMb=129.6
[2025-11-09T06:25:19.039Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:20.540Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:22.044Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:23.545Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:25.045Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:26.548Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:28.060Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:29.562Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:31.062Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:32.565Z] USAGE cpu=0% rssMb=129.7
[2025-11-09T06:25:34.065Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:35.565Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:37.072Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:38.577Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:40.079Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:41.587Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:43.098Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:44.606Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:46.122Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:47.635Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:49.135Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:50.642Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:52.152Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:53.659Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:55.165Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:56.674Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:58.177Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:25:59.686Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:26:01.202Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:26:02.706Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:26:04.222Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:26:05.735Z] USAGE cpu=0% rssMb=129.8
[2025-11-09T06:26:07.247Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:08.750Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:10.250Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:11.752Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:13.253Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:14.758Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:16.271Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:17.785Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:19.285Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:20.789Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:22.297Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:23.805Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:25.316Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:26.814Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:28.314Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:29.832Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:31.333Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:32.848Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:34.347Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:35.848Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:37.364Z] USAGE cpu=0% rssMb=129.9
[2025-11-09T06:26:38.865Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:40.365Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:41.865Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:43.366Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:44.881Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:46.382Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:47.882Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:49.382Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:50.882Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:52.382Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:53.882Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:55.382Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:56.897Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:58.398Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:26:59.901Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:01.414Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:02.915Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:04.415Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:05.930Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:07.431Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:08.931Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:10.446Z] USAGE cpu=0% rssMb=130.0
[2025-11-09T06:27:11.947Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:13.464Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:14.964Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:16.481Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:17.997Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:19.498Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:20.998Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:22.515Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:24.014Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:25.516Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:27.023Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:28.538Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:30.038Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:31.540Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:33.040Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:34.540Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:36.056Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:37.556Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:27:39.057Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:40.557Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:42.058Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:43.573Z] USAGE cpu=0% rssMb=130.2
