[2025-11-16T06:22:20.224Z] RUN_START symbols=1 from=2025-01-01 to=2025-01-02 interval=day mode=mock runId=run-1763274140224 resume=false
[2025-11-16T06:22:21.381Z] JOB_START A
[2025-11-16T06:25:15.206Z] USAGE cpu=0.1% rssMb=232.5
[2025-11-16T06:25:16.705Z] USAGE cpu=0.1% rssMb=232.5
[2025-11-16T06:25:18.213Z] USAGE cpu=0.1% rssMb=232.5
[2025-11-16T06:25:19.726Z] USAGE cpu=0.1% rssMb=232.5
[2025-11-16T06:25:21.229Z] USAGE cpu=0.1% rssMb=232.6
[2025-11-16T06:25:22.737Z] USAGE cpu=0% rssMb=232.6
[2025-11-16T06:25:24.250Z] USAGE cpu=0.3% rssMb=228.7
[2025-11-16T06:25:25.753Z] USAGE cpu=0.4% rssMb=229.4
[2025-11-16T06:25:27.258Z] USAGE cpu=0.4% rssMb=229.4
[2025-11-16T06:25:28.763Z] USAGE cpu=0.4% rssMb=229.4
[2025-11-16T06:25:30.266Z] USAGE cpu=0.4% rssMb=229.4
[2025-11-16T06:25:31.766Z] USAGE cpu=0.1% rssMb=229.4
[2025-11-16T06:25:33.268Z] USAGE cpu=0.1% rssMb=229.4
[2025-11-16T06:25:34.768Z] USAGE cpu=0.1% rssMb=229.4
[2025-11-16T06:25:36.275Z] USAGE cpu=0% rssMb=229.4
[2025-11-16T06:25:37.782Z] USAGE cpu=0% rssMb=229.6
[2025-11-16T06:25:39.294Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:40.797Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:42.299Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:43.801Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:45.305Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:46.815Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:48.323Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:49.829Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:51.331Z] USAGE cpu=0.1% rssMb=229.8
[2025-11-16T06:25:52.833Z] USAGE cpu=0.4% rssMb=231.9
[2025-11-16T06:25:54.339Z] USAGE cpu=0.4% rssMb=232.1
[2025-11-16T06:25:55.853Z] USAGE cpu=0.4% rssMb=232.1
[2025-11-16T06:25:57.358Z] USAGE cpu=0.4% rssMb=232.1
[2025-11-16T06:25:58.858Z] USAGE cpu=0.4% rssMb=233.6
[2025-11-16T06:26:00.359Z] USAGE cpu=0.1% rssMb=233.6
[2025-11-16T06:26:01.859Z] USAGE cpu=0.1% rssMb=233.6
[2025-11-16T06:26:03.359Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:04.860Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:06.374Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:07.890Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:09.404Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:10.906Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:12.406Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:13.922Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:15.422Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:16.969Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:18.475Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:19.988Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:21.498Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:23.009Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:24.512Z] USAGE cpu=0.1% rssMb=234.5
[2025-11-16T06:26:26.012Z] USAGE cpu=0.1% rssMb=234.5
[2025-11-16T06:26:27.528Z] USAGE cpu=0.2% rssMb=234.9
[2025-11-16T06:26:29.029Z] USAGE cpu=0.2% rssMb=234.9
[2025-11-16T06:26:30.529Z] USAGE cpu=0.2% rssMb=233.7
[2025-11-16T06:26:32.029Z] USAGE cpu=0.1% rssMb=233.7
[2025-11-16T06:26:33.530Z] USAGE cpu=0.2% rssMb=233.7
[2025-11-16T06:26:35.045Z] USAGE cpu=0.1% rssMb=233.8
[2025-11-16T06:26:36.562Z] USAGE cpu=0.1% rssMb=233.8
[2025-11-16T06:26:38.078Z] USAGE cpu=0.1% rssMb=233.8
[2025-11-16T06:26:39.579Z] USAGE cpu=0.1% rssMb=233.8
[2025-11-16T06:26:41.083Z] USAGE cpu=0.1% rssMb=234.5
[2025-11-16T06:26:42.592Z] USAGE cpu=0.1% rssMb=234.5
[2025-11-16T06:26:44.105Z] USAGE cpu=0.1% rssMb=234.5
[2025-11-16T06:26:45.609Z] USAGE cpu=0.1% rssMb=234.7
[2025-11-16T06:26:47.124Z] USAGE cpu=0.1% rssMb=234.7
[2025-11-16T06:26:48.625Z] USAGE cpu=0.1% rssMb=234.7
[2025-11-16T06:26:50.125Z] USAGE cpu=0.1% rssMb=234.7
[2025-11-16T06:26:51.633Z] USAGE cpu=0.1% rssMb=234.7
[2025-11-16T06:26:53.138Z] USAGE cpu=0.1% rssMb=234.7
[2025-11-16T06:26:54.650Z] USAGE cpu=0.4% rssMb=233.4
[2025-11-16T06:26:56.164Z] USAGE cpu=0.5% rssMb=233.9
[2025-11-16T06:26:57.677Z] USAGE cpu=0.5% rssMb=233.9
[2025-11-16T06:26:59.192Z] USAGE cpu=0.5% rssMb=233.9
[2025-11-16T06:27:00.697Z] USAGE cpu=0.5% rssMb=233.9
[2025-11-16T06:27:02.196Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:03.712Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:05.228Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:06.729Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:08.241Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:09.746Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:11.246Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:12.762Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:14.275Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:15.787Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:17.304Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:18.804Z] USAGE cpu=0.2% rssMb=234.1
[2025-11-16T06:27:20.318Z] USAGE cpu=0.2% rssMb=234.1
[2025-11-16T06:27:21.824Z] USAGE cpu=0.2% rssMb=234.1
[2025-11-16T06:27:23.337Z] USAGE cpu=0.6% rssMb=235.1
[2025-11-16T06:27:24.842Z] USAGE cpu=0.6% rssMb=235.1
