[2025-11-09T06:37:29.058Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762670249058 resume=false
[2025-11-09T06:37:30.275Z] JOB_START AAPL
[2025-11-09T06:41:19.986Z] USAGE cpu=0% rssMb=119.8
[2025-11-09T06:41:21.499Z] USAGE cpu=0% rssMb=119.8
[2025-11-09T06:41:23.015Z] USAGE cpu=0% rssMb=119.8
[2025-11-09T06:41:24.516Z] USAGE cpu=0% rssMb=119.9
[2025-11-09T06:41:26.032Z] USAGE cpu=0% rssMb=119.9
[2025-11-09T06:41:27.532Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:29.027Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:30.541Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:32.042Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:33.543Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:35.043Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:36.543Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:38.043Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:39.558Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:41.059Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:42.574Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:44.089Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:45.594Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:47.108Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:48.607Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:50.123Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:51.623Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:53.124Z] USAGE cpu=0% rssMb=120.0
[2025-11-09T06:41:54.626Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:41:56.139Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:41:57.641Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:41:59.156Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:00.656Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:02.157Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:03.658Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:05.171Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:06.673Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:08.177Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:09.677Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:11.189Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:12.692Z] USAGE cpu=0% rssMb=120.1
[2025-11-09T06:42:14.204Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:15.704Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:17.205Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:18.708Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:20.221Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:21.725Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:23.227Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:24.734Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:26.236Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:27.752Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:29.249Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:30.752Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:32.255Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:33.764Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:35.265Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:36.780Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:38.283Z] USAGE cpu=0% rssMb=120.2
[2025-11-09T06:42:39.786Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:41.288Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:42.793Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:44.295Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:45.797Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:47.298Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:48.800Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:50.302Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:51.812Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:53.311Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:54.815Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:56.329Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:57.833Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:42:59.335Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:00.839Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:02.343Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:03.845Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:05.347Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:06.851Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:08.352Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:09.856Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:11.366Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:12.870Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:14.380Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:15.888Z] USAGE cpu=0% rssMb=120.3
[2025-11-09T06:43:17.399Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:18.905Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:20.410Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:21.925Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:23.426Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:24.940Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:26.440Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:27.941Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:29.450Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:30.951Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:32.451Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:33.951Z] USAGE cpu=0% rssMb=120.4
[2025-11-09T06:43:35.467Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:36.966Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:38.466Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:39.968Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:41.468Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:42.967Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:44.467Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:45.968Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:47.483Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:49.000Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:50.500Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:52.015Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:53.516Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:55.016Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:56.516Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:58.016Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:43:59.532Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:44:01.031Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:44:02.546Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:44:04.048Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:44:05.548Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:44:07.049Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:44:08.549Z] USAGE cpu=0% rssMb=120.5
[2025-11-09T06:44:10.063Z] USAGE cpu=0% rssMb=120.6
[2025-11-09T06:44:11.579Z] USAGE cpu=0% rssMb=120.6
[2025-11-09T06:44:13.082Z] USAGE cpu=0% rssMb=120.6
[2025-11-09T06:44:14.581Z] USAGE cpu=0% rssMb=120.6
[2025-11-09T06:44:16.097Z] USAGE cpu=0% rssMb=120.6
[2025-11-09T06:44:17.597Z] USAGE cpu=0% rssMb=120.6
[2025-11-09T06:44:19.098Z] USAGE cpu=0.1% rssMb=120.6
[2025-11-09T06:44:20.613Z] USAGE cpu=0.1% rssMb=120.6
[2025-11-09T06:44:22.113Z] USAGE cpu=0.1% rssMb=120.6
[2025-11-09T06:44:23.615Z] USAGE cpu=0.1% rssMb=120.7
[2025-11-09T06:44:25.117Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:26.630Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:28.145Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:29.640Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:31.153Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:32.660Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:34.160Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:35.670Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:37.185Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:38.694Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:40.204Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:41.705Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:43.208Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:44.711Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:46.218Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:47.719Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:49.220Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:50.721Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:52.224Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:53.728Z] USAGE cpu=0% rssMb=120.7
[2025-11-09T06:44:55.243Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:44:56.744Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:44:58.253Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:44:59.755Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:01.257Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:02.763Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:04.278Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:05.780Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:07.295Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:08.796Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:10.298Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:11.812Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:13.327Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:14.828Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:16.342Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:17.858Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:19.358Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:20.865Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:22.377Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:23.876Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:25.376Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:26.878Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:28.392Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:29.888Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:31.403Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:32.918Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:34.421Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:35.925Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:37.434Z] USAGE cpu=0% rssMb=120.8
