[2026-02-18T15:19:55.311Z] Fetched ONGC: Daily(93), Weekly(42), Nifty(139)
[2026-02-18T15:19:59.448Z] Fetched DIXON: Daily(142), Weekly(44), Nifty(139)
[2026-02-18T15:20:12.744Z] Fetched ASTRAL: Daily(88), Weekly(33), Nifty(144)
[2026-02-18T15:20:15.171Z] Fetched DELHIVERY: Daily(148), Weekly(47), Nifty(148)
[2026-02-18T15:20:16.000Z] Fetched NYKAA: Daily(133), Weekly(38), Nifty(148)
[2026-02-18T15:20:16.185Z] Fetched NIFTY: Daily(0), Weekly(0), Nifty(148)
[2026-02-18T15:20:17.070Z] Fetched KPITTECH: Daily(88), Weekly(34), Nifty(147)
[2026-02-18T15:20:30.432Z] Fetched HAVELLS: Daily(116), Weekly(47), Nifty(162)
[2026-02-18T15:20:30.440Z] Fetched BANKBARODA: Daily(88), Weekly(34), Nifty(162)
[2026-02-18T15:20:31.661Z] Fetched BSE: Daily(88), Weekly(34), Nifty(162)
[2026-02-18T15:20:31.708Z] Fetched JIOFIN: Daily(90), Weekly(34), Nifty(149)
[2026-02-18T15:20:32.495Z] Fetched AUROPHARMA: Daily(90), Weekly(34), Nifty(149)
[2026-02-18T15:20:45.760Z] Fetched AMBUJACEM: Daily(89), Weekly(33), Nifty(178)
[2026-02-18T15:20:45.768Z] Fetched BAJFINANCE: Daily(107), Weekly(39), Nifty(162)
[2026-02-18T15:20:48.189Z] Fetched HDFCBANK: Daily(88), Weekly(34), Nifty(162)
[2026-02-18T15:20:48.947Z] Fetched TATAELXSI: Daily(89), Weekly(34), Nifty(163)
[2026-02-18T15:20:55.371Z] Fetched TITAN: Daily(123), Weekly(42), Nifty(178)
[2026-02-18T15:21:08.668Z] Fetched IEX: Daily(89), Weekly(33), Nifty(178)
[2026-02-18T15:21:09.709Z] Fetched TATATECH: Daily(89), Weekly(33), Nifty(178)
[2026-02-18T15:21:12.765Z] Fetched TATACONSUM: Daily(89), Weekly(34), Nifty(181)
[2026-02-18T15:21:13.659Z] Fetched SONACOMS: Daily(135), Weekly(51), Nifty(181)
[2026-02-18T15:21:14.632Z] Fetched LTIM: Daily(89), Weekly(33), Nifty(178)
[2026-02-18T15:21:29.927Z] Fetched ICICIPRULI: Daily(89), Weekly(36), Nifty(181)
[2026-02-18T15:21:30.946Z] Fetched DRREDDY: Daily(135), Weekly(51), Nifty(181)
[2026-02-18T15:21:34.013Z] Fetched NCC: Daily(89), Weekly(34), Nifty(181)
[2026-02-18T15:21:36.121Z] Fetched POLYCAB: Daily(89), Weekly(40), Nifty(181)
[2026-02-18T15:21:40.544Z] Fetched TORNTPOWER: Daily(89), Weekly(34), Nifty(181)
[2026-02-18T15:21:53.833Z] Fetched INFY: Daily(89), Weekly(34), Nifty(182)
[2026-02-18T15:21:54.795Z] Fetched SRF: Daily(89), Weekly(37), Nifty(182)
[2026-02-18T15:21:54.832Z] Fetched PAGEIND: Daily(82), Weekly(41), Nifty(204)
[2026-02-18T15:21:57.330Z] Fetched CAMS: Daily(0), Weekly(0), Nifty(182)
[2026-02-18T15:22:01.482Z] Fetched TORNTPHARM: Daily(79), Weekly(35), Nifty(204)
[2026-02-18T15:22:14.811Z] Fetched KEI: Daily(107), Weekly(39), Nifty(204)
[2026-02-18T15:22:15.865Z] Fetched AUBANK: Daily(149), Weekly(48), Nifty(204)
[2026-02-18T15:22:17.095Z] Fetched CIPLA: Daily(77), Weekly(31), Nifty(204)
[2026-02-18T15:23:50.125Z] Fetched SBIN: Daily(90), Weekly(34), Nifty(90)
[2026-02-18T15:23:50.147Z] Fetched UNIONBANK: Daily(90), Weekly(34), Nifty(90)
[2026-02-18T15:23:52.410Z] Fetched BANKNIFTY: Daily(0), Weekly(0), Nifty(90)
[2026-02-18T15:23:53.465Z] Fetched FEDERALBNK: Daily(93), Weekly(42), Nifty(139)
[2026-02-18T15:23:55.502Z] Fetched SUZLON: Daily(88), Weekly(33), Nifty(139)
[2026-02-18T15:24:07.760Z] Fetched GLENMARK: Daily(88), Weekly(34), Nifty(142)
[2026-02-18T15:24:09.045Z] Fetched NATIONALUM: Daily(88), Weekly(34), Nifty(142)
[2026-02-18T15:24:09.091Z] Fetched MCX: Daily(0), Weekly(0), Nifty(142)
[2026-02-18T15:24:12.188Z] Fetched ADANIENT: Daily(96), Weekly(43), Nifty(142)
[2026-02-18T15:24:20.518Z] Fetched YESBANK: Daily(88), Weekly(43), Nifty(144)
[2026-02-18T15:24:33.270Z] Fetched NIFTY: Daily(0), Weekly(0), Nifty(144)
[2026-02-18T15:24:33.275Z] Fetched HDFCLIFE: Daily(88), Weekly(33), Nifty(144)
[2026-02-18T15:24:33.276Z] Fetched HDFCBANK: Daily(88), Weekly(33), Nifty(144)
[2026-02-18T15:24:35.446Z] Fetched APLAPOLLO: Daily(89), Weekly(35), Nifty(144)
[2026-02-18T15:24:42.674Z] Fetched BSE: Daily(88), Weekly(33), Nifty(144)
[2026-02-18T15:24:54.857Z] Fetched TITAGARH: Daily(88), Weekly(33), Nifty(144)
[2026-02-18T15:24:55.870Z] Fetched INOXWIND: Daily(89), Weekly(34), Nifty(148)
[2026-02-18T15:24:56.984Z] Fetched INFY: Daily(90), Weekly(34), Nifty(178)
[2026-02-18T15:24:56.995Z] Fetched JSWENERGY: Daily(90), Weekly(34), Nifty(177)
[2026-02-18T15:25:02.979Z] Fetched 360ONE: Daily(89), Weekly(34), Nifty(148)
[2026-02-18T15:25:15.197Z] Fetched TCS: Daily(90), Weekly(34), Nifty(178)
[2026-02-18T15:25:16.238Z] Fetched COFORGE: Daily(89), Weekly(34), Nifty(182)
[2026-02-18T15:25:18.448Z] Fetched KOTAKBANK: Daily(0), Weekly(0), Nifty(185)
[2026-02-18T15:25:19.265Z] Fetched PATANJALI: Daily(89), Weekly(34), Nifty(181)
[2026-02-18T15:25:21.518Z] Fetched NYKAA: Daily(163), Weekly(45), Nifty(178)
[2026-02-18T15:25:34.775Z] Fetched SOLARINDS: Daily(88), Weekly(33), Nifty(187)
[2026-02-18T15:25:36.904Z] Fetched MOTHERSON: Daily(90), Weekly(47), Nifty(187)
[2026-02-18T15:25:37.852Z] Fetched ICICIBANK: Daily(88), Weekly(33), Nifty(187)
[2026-02-18T15:25:39.197Z] Fetched AUROPHARMA: Daily(128), Weekly(43), Nifty(187)
[2026-02-18T15:25:40.086Z] Fetched ZYDUSLIFE: Daily(88), Weekly(33), Nifty(187)
[2026-02-18T15:25:53.329Z] Fetched KOTAKBANK: Daily(0), Weekly(0), Nifty(204)
[2026-02-18T15:25:54.513Z] Fetched SUPREMEIND: Daily(88), Weekly(40), Nifty(187)
[2026-02-18T15:25:55.662Z] Fetched COALINDIA: Daily(92), Weekly(36), Nifty(189)
[2026-02-18T15:25:57.665Z] Fetched MANKIND: Daily(88), Weekly(40), Nifty(187)
[2026-02-18T15:26:00.230Z] Fetched VOLTAS: Daily(185), Weekly(55), Nifty(204)
[2026-02-18T15:26:14.480Z] Fetched UPL: Daily(107), Weekly(39), Nifty(204)
[2026-02-18T15:26:14.488Z] Fetched DIXON: Daily(207), Weekly(45), Nifty(204)
[2026-02-18T15:26:15.538Z] Fetched COFORGE: Daily(111), Weekly(35), Nifty(204)
[2026-02-18T15:43:48.693Z] Fetched PNB: Daily(22)
[2026-02-18T15:43:49.609Z] Fetched ITC: Daily(22)
[2026-02-18T15:43:49.623Z] Fetched UNIONBANK: Daily(22)
[2026-02-18T15:43:51.218Z] Fetched CANBK: Daily(40)
[2026-02-18T15:43:51.219Z] Fetched BANKINDIA: Daily(22)
[2026-02-18T15:43:57.545Z] Fetched ADANIGREEN: Daily(3)
[2026-02-18T15:43:57.549Z] Fetched RECLTD: Daily(3)
[2026-02-18T15:43:57.554Z] Fetched SAMMAANCAP: Daily(22)
[2026-02-18T15:43:59.795Z] Fetched ADANIGREEN: Daily(4)
[2026-02-18T15:44:00.694Z] Fetched RBLBANK: Daily(3)
[2026-02-18T15:44:05.928Z] Fetched INDIANB: Daily(4)
[2026-02-18T15:44:06.872Z] Fetched RECLTD: Daily(4)
[2026-02-18T15:44:06.894Z] Fetched BANKINDIA: Daily(22)
[2026-02-18T15:44:06.912Z] Fetched AMBER: Daily(55)
[2026-02-18T15:44:08.048Z] Fetched SBIN: Daily(204)
[2026-02-18T15:44:13.221Z] Fetched MAXHEALTH: Daily(22)
[2026-02-18T15:44:14.299Z] Fetched POWERGRID: Daily(22)
[2026-02-18T15:44:14.365Z] Fetched CANBK: Daily(40)
[2026-02-18T15:44:15.500Z] Fetched KFINTECH: Daily(70)
[2026-02-18T15:44:17.422Z] Fetched GMRAIRPORT: Daily(22)
[2026-02-18T15:44:23.867Z] Fetched HDFCAMC: Daily(103)
[2026-02-18T15:44:24.897Z] Fetched POWERGRID: Daily(22)
[2026-02-18T15:44:26.964Z] Fetched TIINDIA: Daily(22)
[2026-02-18T15:44:26.992Z] Fetched GMRAIRPORT: Daily(22)
[2026-02-18T15:44:27.004Z] Fetched TATAPOWER: Daily(22)
[2026-02-18T15:44:32.212Z] Fetched TORNTPHARM: Daily(40)
[2026-02-18T15:44:33.573Z] Fetched LT: Daily(50)
[2026-02-18T15:44:33.584Z] Fetched TORNTPHARM: Daily(40)
[2026-02-18T15:44:33.612Z] Fetched MAXHEALTH: Daily(22)
[2026-02-18T15:44:33.637Z] Fetched SBIN: Daily(204)
[2026-02-18T15:44:38.979Z] Fetched BLUESTARCO: Daily(55)
[2026-02-18T15:44:39.810Z] Fetched TRENT: Daily(22)
[2026-02-18T15:44:42.961Z] Fetched CROMPTON: Daily(22)
